external_id,name,description,organizer_name,address,city,state,zipcode,latitude,longitude,day_of_week,start_hour,end_hour,parking_info,admission_info,source
nominatim:344139520,Farmers Market,"Farmers market in Birmingham, AL. Confirm hours with the organizer.",,Finley Avenue West,Birmingham,AL,35204,33.534343,-86.843964,saturday,8,13,,Free admission.,nominatim
nominatim:342886090,Back 2 The Land Produce Market,"Farmers market in Alabama, AL. Confirm hours with the organizer.",,AL 69,Alabama,AL,,33.053578,-87.581524,saturday,8,13,,Free admission.,nominatim
nominatim:342718192,Dixie’s Produce Market,"Farmers market in Oneonta, AL. Confirm hours with the organizer.",,25564 2nd Avenue East,Oneonta,AL,35121,33.908619,-86.512031,saturday,8,13,,Free admission.,nominatim
nominatim:382349723,Clinton Farm Market,"Farmers market in Alabama, AL. Confirm hours with the organizer.",,AL 69,Alabama,AL,36744,32.686808,-87.614782,saturday,8,13,,Free admission.,nominatim
nominatim:342916245,Farmers Market,"Farmers market in Birmingham, AL. Confirm hours with the organizer.",,Finley Avenue West,Birmingham,AL,35204,33.534343,-86.843964,saturday,8,13,,Free admission.,nominatim
nominatim:342589716,Sprouts Farmers Market,"Farmers market in Madison, AL. Confirm hours with the organizer.",,7504 US 72,Madison,AL,35758,34.758429,-86.729391,saturday,8,13,,Free admission.,nominatim
nominatim:343636061,Kaylee's Farmers Market,"Farmers market in Tuscaloosa, AL. Confirm hours with the organizer.",,Bear Creek Cutoff Road,Tuscaloosa,AL,35405,33.147973,-87.526188,saturday,8,13,,Free admission.,nominatim
nominatim:343892909,Tuscaloosa Farmers Market,"Farmers market in Tuscaloosa, AL. Confirm hours with the organizer.",,Tuscaloosa Riverwalk,Tuscaloosa,AL,35486,33.216607,-87.562523,saturday,8,13,,Free admission.,nominatim
nominatim:341805006,Northport Farmers Market,"Farmers market in Northport, AL. Confirm hours with the organizer.",,5th Street,Northport,AL,35476,33.220364,-87.597611,saturday,8,13,,Free admission.,nominatim
nominatim:342638625,B&B Farmers' Market,"Farmers market in Anniston, AL. Confirm hours with the organizer.",,K Street,Anniston,AL,36207,33.635306,-85.8258,saturday,8,13,,Free admission.,nominatim
nominatim:341822405,Limestone County Farmers Market,"Farmers market in Athens, AL. Confirm hours with the organizer.",,409 Green Street West,Athens,AL,35611,34.801025,-86.974122,saturday,8,13,,Free admission.,nominatim
nominatim:302758795,Farmers Market Ln,"Farmers market in Foley, AL. Confirm hours with the organizer.",,Farmers Market Ln,Foley,AL,36535,30.372398,-87.669298,saturday,8,13,,Free admission.,nominatim
nominatim:302232562,Foley Farmers Market,"Farmers market in Foley, AL. Confirm hours with the organizer.",,781 Farmers Market Ln,Foley,AL,36535,30.37194,-87.669296,saturday,8,13,,Free admission.,nominatim
nominatim:303188620,Farmers Market Ln,"Farmers market in Foley, AL. Confirm hours with the organizer.",,Farmers Market Ln,Foley,AL,36535,30.372398,-87.669298,saturday,8,13,,Free admission.,nominatim
nominatim:303579199,Foley Farmers Market,"Farmers market in Foley, AL. Confirm hours with the organizer.",,781 Farmers Market Ln,Foley,AL,36535,30.37194,-87.669296,saturday,8,13,,Free admission.,nominatim
nominatim:419932758,Poplar Head Farmers Market,"Farmers market in Dothan, AL. Confirm hours with the organizer.",,1701 East Cottonwood Road,Dothan,AL,36303,31.193926,-85.374171,saturday,8,13,,Free admission.,nominatim
nominatim:342867297,Uniontown Farmers Market,"Farmers market in Uniontown, AL. Confirm hours with the organizer.",,West Avenue,Uniontown,AL,36786,32.450404,-87.515965,saturday,8,13,,Free admission.,nominatim
nominatim:416304574,Uniontown Farmers Market,"Farmers market in Uniontown, AL. Confirm hours with the organizer.",,West Avenue,Uniontown,AL,36786,32.450404,-87.515965,saturday,8,13,,Free admission.,nominatim
nominatim:342144753,Kaylee's Farmers Market,"Farmers market in Tuscaloosa, AL. Confirm hours with the organizer.",,Bear Creek Cutoff Road,Tuscaloosa,AL,35405,33.147973,-87.526188,saturday,8,13,,Free admission.,nominatim
nominatim:345653023,Tuscaloosa Farmers Market,"Farmers market in Tuscaloosa, AL. Confirm hours with the organizer.",,Jack Warner Parkway,Tuscaloosa,AL,35486,33.216607,-87.562523,saturday,8,13,,Free admission.,nominatim
nominatim:342645530,Northport Farmers Market,"Farmers market in Northport, AL. Confirm hours with the organizer.",,5th Street,Northport,AL,35476,33.220364,-87.597611,saturday,8,13,,Free admission.,nominatim
nominatim:344059309,Farmers Market,"Farmers market in Birmingham, AL. Confirm hours with the organizer.",,Finley Avenue West,Birmingham,AL,35204,33.534343,-86.843964,saturday,8,13,,Free admission.,nominatim
nominatim:344072888,B&B Farmers' Market,"Farmers market in Anniston, AL. Confirm hours with the organizer.",,K Street,Anniston,AL,36207,33.635306,-85.8258,saturday,8,13,,Free admission.,nominatim
nominatim:344384453,Sprouts Farmers Market,"Farmers market in Birmingham, AL. Confirm hours with the organizer.",,5265 US Highway 280,Birmingham,AL,35242,33.420121,-86.683425,saturday,8,13,,Free admission.,nominatim
nominatim:342880274,B&B Farmers' Market,"Farmers market in Anniston, AL. Confirm hours with the organizer.",,K Street,Anniston,AL,36207,33.635306,-85.8258,saturday,8,13,,Free admission.,nominatim
nominatim:340860933,Coweta County Farmers Market,"Farmers market in Newnan, GA. Confirm hours with the organizer.",,Temple Avenue West,Newnan,GA,30263,33.384067,-84.813212,saturday,8,13,,Free admission.,nominatim
nominatim:342886357,Little Giant Farmers Market,"Farmers market in Newnan, GA. Confirm hours with the organizer.",,2005 Macedonia Road,Newnan,GA,30263,33.430756,-84.862389,saturday,8,13,,Free admission.,nominatim
nominatim:342991182,Limestone County Farmers Market,"Farmers market in Athens, AL. Confirm hours with the organizer.",,409 Green Street West,Athens,AL,35611,34.801025,-86.974122,saturday,8,13,,Free admission.,nominatim
nominatim:341846102,Sprouts Farmers Market,"Farmers market in Madison, AL. Confirm hours with the organizer.",,7504 US 72,Madison,AL,35758,34.758429,-86.729391,saturday,8,13,,Free admission.,nominatim
nominatim:341882896,Jackson County Farmers Market,"Farmers market in Scottsboro, AL. Confirm hours with the organizer.",,Bob Jones Road,Scottsboro,AL,35769,34.63989,-86.037767,saturday,8,13,,Free admission.,nominatim
nominatim:341971266,LaFayette Farmers Market,"Farmers market in LaFayette, GA. Confirm hours with the organizer.",,100 East Villanow Street,LaFayette,GA,30728,34.705042,-85.281405,saturday,8,13,,Free admission.,nominatim
nominatim:378510077,Spenard Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,2435 Spenard Road,Anchorage,AK,99503,61.197464,-149.904849,saturday,8,13,,Free admission.,nominatim
nominatim:378290040,South Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,11111 O'Malley Centre Drive,Anchorage,AK,99515,61.120108,-149.86067,saturday,8,13,,Free admission.,nominatim
nominatim:378350562,Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1420 Cordova Street,Anchorage,AK,99501,61.208126,-149.880815,saturday,8,13,,Free admission.,nominatim
nominatim:378313637,Midtown Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,900 East Benson Boulevard,Anchorage,AK,99508,61.192315,-149.866422,saturday,8,13,,Free admission.,nominatim
nominatim:378192649,Tanana Valley Farmers Market,"Farmers market in Fairbanks, AK. Confirm hours with the organizer.",,2600 College Road,Fairbanks,AK,99708,64.862884,-147.782795,saturday,8,13,,Free admission.,nominatim
nominatim:378351782,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,12110 Business Boulevard,Anchorage,AK,99577,61.330102,-149.570095,saturday,8,13,,Free admission.,nominatim
nominatim:378321181,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,10527 Eagle River Road,Anchorage,AK,99577,61.315731,-149.572063,saturday,8,13,,Free admission.,nominatim
nominatim:378402810,Girdwood Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,148 Lindblad Avenue,Anchorage,AK,99587,60.963254,-149.135,saturday,8,13,,Free admission.,nominatim
nominatim:378251332,Muldoon Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1301 Muldoon Road,Anchorage,AK,99504,61.208866,-149.732625,saturday,8,13,,Free admission.,nominatim
nominatim:377600191,Spenard Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,2435 Spenard Road,Anchorage,AK,99503,61.197464,-149.904849,saturday,8,13,,Free admission.,nominatim
nominatim:377718305,Midtown Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,900 East Benson Boulevard,Anchorage,AK,99508,61.192315,-149.866422,saturday,8,13,,Free admission.,nominatim
nominatim:377910158,South Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,11111 O'Malley Centre Drive,Anchorage,AK,99515,61.120108,-149.86067,saturday,8,13,,Free admission.,nominatim
nominatim:375289198,Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1420 Cordova Street,Anchorage,AK,99501,61.208126,-149.880815,saturday,8,13,,Free admission.,nominatim
nominatim:377723870,Tanana Valley Farmers Market,"Farmers market in Fairbanks, AK. Confirm hours with the organizer.",,2600 College Road,Fairbanks,AK,99708,64.862884,-147.782795,saturday,8,13,,Free admission.,nominatim
nominatim:377576744,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,10527 Eagle River Road,Anchorage,AK,99577,61.315731,-149.572063,saturday,8,13,,Free admission.,nominatim
nominatim:377684104,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,12110 Business Boulevard,Anchorage,AK,99577,61.330102,-149.570095,saturday,8,13,,Free admission.,nominatim
nominatim:377762318,Girdwood Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,148 Lindblad Avenue,Anchorage,AK,99587,60.963254,-149.135,saturday,8,13,,Free admission.,nominatim
nominatim:374424805,Muldoon Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1301 Muldoon Road,Anchorage,AK,99504,61.208866,-149.732625,saturday,8,13,,Free admission.,nominatim
nominatim:376950343,Midtown Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,900 East Benson Boulevard,Anchorage,AK,99508,61.192315,-149.866422,saturday,8,13,,Free admission.,nominatim
nominatim:377466096,Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1420 Cordova Street,Anchorage,AK,99501,61.208126,-149.880815,saturday,8,13,,Free admission.,nominatim
nominatim:377741368,South Anchorage Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,11111 O'Malley Centre Drive,Anchorage,AK,99515,61.120108,-149.86067,saturday,8,13,,Free admission.,nominatim
nominatim:376656957,Spenard Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,2435 Spenard Road,Anchorage,AK,99503,61.197464,-149.904849,saturday,8,13,,Free admission.,nominatim
nominatim:378018889,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,12110 Business Boulevard,Anchorage,AK,99577,61.330102,-149.570095,saturday,8,13,,Free admission.,nominatim
nominatim:378327229,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,10527 Eagle River Road,Anchorage,AK,99577,61.315731,-149.572063,saturday,8,13,,Free admission.,nominatim
nominatim:375674356,Muldoon Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,1301 Muldoon Road,Anchorage,AK,99504,61.208866,-149.732625,saturday,8,13,,Free admission.,nominatim
nominatim:376042939,Tanana Valley Farmers Market,"Farmers market in Fairbanks, AK. Confirm hours with the organizer.",,2600 College Road,Fairbanks,AK,99708,64.862884,-147.782795,saturday,8,13,,Free admission.,nominatim
nominatim:379444863,Eagle River Farmers Market,"Farmers market in Anchorage, AK. Confirm hours with the organizer.",,12110 Business Boulevard,Anchorage,AK,99577,61.330102,-149.570095,saturday,8,13,,Free admission.,nominatim
